"Character(decimal)","Decimal","Character(hex)","Hex","Name","Braille"
"𒉍","74317","𒉍","1224D","CUNEIFORM SIGN NI TIMES E","ni[q~*]e"
"𒉎","74318","𒉎","1224E","CUNEIFORM SIGN NI2","ni2"
"𒉏","74319","𒉏","1224F","CUNEIFORM SIGN NIM","nim"
"𒉐","74320","𒉐","12250","CUNEIFORM SIGN NIM TIMES GAN2 TENU","nim[q~*]gan2 tenu"
"𒉑","74321","𒉑","12251","CUNEIFORM SIGN NIM TIMES GAR PLUS GAN2 TENU","nim[q~*]gar[q~+]gan2 tenu"
"𒉒","74322","𒉒","12252","CUNEIFORM SIGN NINDA2","ninda2"
"𒉓","74323","𒉓","12253","CUNEIFORM SIGN NINDA2 TIMES AN","ninda2[q~*]an"
"𒉔","74324","𒉔","12254","CUNEIFORM SIGN NINDA2 TIMES ASH","ninda2[q~*]ash"
"𒉕","74325","𒉕","12255","CUNEIFORM SIGN NINDA2 TIMES ASH PLUS ASH","ninda2[q~*]ash[q~+]ash"
"𒉖","74326","𒉖","12256","CUNEIFORM SIGN NINDA2 TIMES GUD","ninda2[q~*]gud"
"𒉗","74327","𒉗","12257","CUNEIFORM SIGN NINDA2 TIMES ME PLUS GAN2 TENU","ninda2[q~*]me[q~+]gan2 tenu"
"𒉘","74328","𒉘","12258","CUNEIFORM SIGN NINDA2 TIMES NE","ninda2[q~*]ne"
"𒉙","74329","𒉙","12259","CUNEIFORM SIGN NINDA2 TIMES NUN","ninda2[q~*]nun"
"𒉚","74330","𒉚","1225A","CUNEIFORM SIGN NINDA2 TIMES SHE","ninda2[q~*]she"
"𒉛","74331","𒉛","1225B","CUNEIFORM SIGN NINDA2 TIMES SHE PLUS A AN","ninda2[q~*]she[q~+]a an"
"𒉜","74332","𒉜","1225C","CUNEIFORM SIGN NINDA2 TIMES SHE PLUS ASH","ninda2[q~*]she[q~+]ash"
"𒉝","74333","𒉝","1225D","CUNEIFORM SIGN NINDA2 TIMES SHE PLUS ASH PLUS ASH","ninda2[q~*]she[q~+]ash[q~+]ash"
"𒉞","74334","𒉞","1225E","CUNEIFORM SIGN NINDA2 TIMES U2 PLUS ASH","ninda2[q~*]u2[q~+]ash"
"𒉟","74335","𒉟","1225F","CUNEIFORM SIGN NINDA2 TIMES USH","ninda2[q~*]ush"
"𒉠","74336","𒉠","12260","CUNEIFORM SIGN NISAG","nisag"
"𒉡","74337","𒉡","12261","CUNEIFORM SIGN NU","nu"
"𒉢","74338","𒉢","12262","CUNEIFORM SIGN NU11","nu11"
"𒉣","74339","𒉣","12263","CUNEIFORM SIGN NUN","nun"
