,Character,Name,Braille
527,Δ,Capitol Delta,⠠⠙
529,Ε,Capitol Epsilon,⠠⠑
531,Ζ,Capitol Zeta,
533,Η,Capitol Eta,
535,Θ,Capitol Theta,
537,Ι,Capitol Iota,
539,Κ,Capitol Kappa,
541,Λ,Capitol Lambda,
543,Μ,Capitol Mu,
545,Ν,Capitol Nu,
547,Ξ,Capital Xi,
549,Ο,Capitol Omicron,
551,Π,Capitol Pi,
553,Ρ,Capitil rho,
555,Σ,Capitol Sigma,
558,Τ,Capital Tau,
560,Υ,Capitol Upsilon,
562,Φ,Capitol Fi,
564,Χ,Capitol Chi,
566,Ψ,Capitol Psi,
568,Ω,Capitol Omega,
