Character,Hex,Type,Name,Braille
𒈵,12235,letter,MUshxKUR,MUshxKUR
𒈶,12236,letter,MUshxZA,MUshxZA
𒈷,12237,letter,RI8,RI8
𒈸,12238,letter,MUsh/MUshxA+NA,MUsh/MUshxA+NA
𒈹,12239,letter,MUshcrossingMUsh,MUshcrossingMUsh
𒈺,1223A,letter,INANNA,INANNA
𒈻,1223B,letter,MUsh3xA,MUsh3xA
𒈼,1223C,letter,MUsh3xA+DI,MUsh3xA+DI
𒈽,1223D,letter,MUsh3xDI,MUsh3xDI
𒈾,1223E,letter,SUH,SUH
𒈥,12225,letter,MAH,MAH
𒈤,12224,letter,MA2,MA2
𒈣,12223,letter,HASHUR,HASHUR
𒈕,12215,letter,LU2squared,LU2squared
𒈊,1220A,letter,LU2xLA+Ash,LU2xLA+Ash
𒈋,1220B,letter,LU2xLAGAB,LU2xLAGAB
𒈌,1220C,letter,LU2xME+EN,LU2xME+EN
𒈍,1220D,letter,DU14,DU14
𒈎,1220E,letter,LU2xNU,LU2xNU
𒈏,1220F,letter,LU2xSI+Ash,LU2xSI+Ash
𒈐,12210,letter,LU2xSIK2+BU,LU2xSIK2+BU
𒈑,12211,letter,AZLAG7,AZLAG7
𒈒,12212,letter,LU2tenu,LU2tenu
𒈓,12213,letter,LU2crossingLU2,LU2crossingLU2
𒈔,12214,letter,LU2opposingLU2,LU2opposingLU2
𒈖,12216,letter,DIM3,DIM3
𒈢,12222,letter,MAxTAK4,MAxTAK4
𒈗,12217,letter,GUG,GUG
𒈘,12218,letter,LUGAL,LUGAL
𒈙,12219,letter,DADRUM,DADRUM
𒈚,1221A,letter,LUGALopposingLUGAL,LUGALopposingLUGAL
𒈛,1221B,letter,LUGALsheshig,LUGALsheshig
𒈜,1221C,letter,LUH,LUH
𒈝,1221D,letter,NAR,NAR
𒈞,1221E,letter,HUM,HUM
𒈟,1221F,letter,LUM/LUM,LUM/LUM
𒈠,12220,letter,LUGUD,LUGUD
𒈡,12221,letter,MA,MA
𒊳,122B3,letter,shA3xNE,shA3xNE
𒊴,122B4,letter,shA3xshU2,shA3xshU2
𒊵,122B5,letter,shA3xTUR,shA3xTUR
𒍅,12345,letter,URUxIsh,URUxIsh
𒍇,12347,letter,URUxLUM,URUxLUM
𒍈,12348,letter,ULU3,ULU3
𒍉,12349,letter,URUxPA,URUxPA
𒍊,1234A,letter,URUxshE,URUxshE
𒍋,1234B,letter,URUxSIG4,URUxSIG4
𒍌,1234C,letter,URUxTU,URUxTU
𒍍,1234D,letter,URUxU+GUD,URUxU+GUD
